o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
1,A1,1,A1,0.0,0.0,"LINESTRING (-111.942911 33.4291189,-111.942911 33.4291189)"
1,A1,2,A2,0.9841847461528341,0.0,"LINESTRING (-111.942911 33.4291189,-111.9327371 33.4298458)"
1,A1,3,A3,1.3722049415661708,0.0,"LINESTRING (-111.942911 33.4291189,-111.9286983 33.4286259)"
1,A1,4,A4,1.9343875443041108,0.0,"LINESTRING (-111.942911 33.4291189,-111.9228846 33.4281982)"
1,A1,5,B1,0.3413321232535635,1.649761838049874,"LINESTRING (-111.942911 33.4291189,-111.9413409 33.425949)"
1,A1,6,B2,0.752509536969378,0.4124404595124685,"LINESTRING (-111.942911 33.4291189,-111.935904 33.4256949)"
1,A1,7,B3,1.4450886285742688,0.4124404595124685,"LINESTRING (-111.942911 33.4291189,-111.9284469 33.4252348)"
1,A1,8,B4,1.912322564525501,0.0,"LINESTRING (-111.942911 33.4291189,-111.9233606 33.4258677)"
1,A1,9,C1,0.6172288644498406,1.8559820678061083,"LINESTRING (-111.942911 33.4291189,-111.9412674 33.4229368)"
1,A1,10,C2,0.9201245799103798,2.474642757074811,"LINESTRING (-111.942911 33.4291189,-111.9357328 33.4228413)"
1,A1,11,C3,1.5308322303309374,0.4124404595124685,"LINESTRING (-111.942911 33.4291189,-111.9284928 33.4224993)"
1,A1,12,C4,2.142002936901943,0.4124404595124685,"LINESTRING (-111.942911 33.4291189,-111.921655 33.4227167)"
1,A1,13,D1,0.9253380233614996,3.299523676099748,"LINESTRING (-111.942911 33.4291189,-111.9409902 33.4197233)"
1,A1,14,D2,1.2256274267957932,1.4435416082936396,"LINESTRING (-111.942911 33.4291189,-111.9344338 33.4196594)"
1,A1,15,D3,1.64088945236873,0.4124404595124685,"LINESTRING (-111.942911 33.4291189,-111.928682 33.4198058)"
1,A1,16,D4,2.2573135176252217,0.6186606892687028,"LINESTRING (-111.942911 33.4291189,-111.9216765 33.4193012)"
1,A1,17,E1,1.1760871046707437,2.0622022975623424,"LINESTRING (-111.942911 33.4291189,-111.9413871 33.4170259)"
1,A1,18,E2,1.4282156794057732,1.8559820678061083,"LINESTRING (-111.942911 33.4291189,-111.9350314 33.4165889)"
1,A1,19,E3,1.9552590749505387,1.0311011487811712,"LINESTRING (-111.942911 33.4291189,-111.9270372 33.4165234)"
1,A1,20,E4,2.4113679968487265,1.4435416082936396,"LINESTRING (-111.942911 33.4291189,-111.9213764 33.416438)"
1,A1,21,Gate1,1.326159252119291,0.0,"LINESTRING (-111.942911 33.4291189,-111.9483918 33.416515)"
1,A1,22,Gate2,1.052749107096149,0.0,"LINESTRING (-111.942911 33.4291189,-111.9483918 33.419685)"
1,A1,23,Gate3,0.8031064402098297,0.20622022975623425,"LINESTRING (-111.942911 33.4291189,-111.9483918 33.422855)"
1,A1,24,Gate4,0.6072859107767707,0.0,"LINESTRING (-111.942911 33.4291189,-111.9483918 33.426025)"
1,A1,25,Gate5,0.5288944619249688,0.0,"LINESTRING (-111.942911 33.4291189,-111.9483918 33.429195)"
1,A1,26,Gate6,0.3383674579080516,0.20622022975623425,"LINESTRING (-111.942911 33.4291189,-111.9415818 33.432364)"
1,A1,27,Gate7,0.8454695160545447,0.20622022975623425,"LINESTRING (-111.942911 33.4291189,-111.9347718 33.432364)"
