agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
1,v,2120,3113,5697244757.0,,1,5,"LINESTRING(-111.9442568 33.4295279,-111.9388594 33.4264352)",0722
2,v,1928,2790,5641347332.0,,1,5,"LINESTRING(-111.9443068 33.4280856,-111.9395473 33.4246614)",0757
3,v,3046,1867,,5415311358.0,1,6,"LINESTRING(-111.9449178 33.4302576,-111.9381622 33.4256128)",0752
4,v,3049,2974,,,1,7,"LINESTRING(-111.9440529 33.4288937,-111.9280108 33.4260327)",0711
5,v,2867,2423,,7590725936.0,1,9,"LINESTRING(-111.9384709 33.4306011,-111.9412432 33.4213251)",0734
6,v,2168,674,5907585046.0,5080817378.0,1,9,"LINESTRING(-111.9443136 33.4283475,-111.9416982 33.4236367)",0754
7,v,3046,2697,,,1,10,"LINESTRING(-111.9449178 33.4302576,-111.9347613 33.422862)",0705
8,v,2931,3093,,,1,10,"LINESTRING(-111.9404432 33.4291212,-111.9320874 33.4225104)",0722
9,v,3046,2770,,,1,10,"LINESTRING(-111.9449178 33.4302576,-111.9364445 33.4225267)",0748
10,v,3111,2712,,,1,11,"LINESTRING(-111.9448918 33.4297287,-111.9313502 33.4224351)",0748
11,v,3049,2722,,,1,12,"LINESTRING(-111.9440529 33.4288937,-111.9237807 33.424292)",0737
12,v,2863,156,,863736881.0,1,13,"LINESTRING(-111.9404138 33.4280488,-111.9418437 33.4190521)",0714
13,v,1923,2376,5634899228.0,7237092618.0,1,13,"LINESTRING(-111.9449232 33.4294451,-111.9399908 33.4204925)",0704
14,v,2749,2998,,,1,13,"LINESTRING(-111.9433358 33.4277712,-111.9402477 33.4188601)",0712
15,v,3043,2396,,7264975967.0,1,13,"LINESTRING(-111.944818 33.42935,-111.9424218 33.4204698)",0725
16,v,2862,2964,,,1,14,"LINESTRING(-111.9416895 33.4280571,-111.9319978 33.4212108)",0726
17,v,1926,2901,5641347330.0,,1,14,"LINESTRING(-111.9443125 33.4283045,-111.9329169 33.4192019)",0714
18,v,2863,2888,,,1,15,"LINESTRING(-111.9404138 33.4280488,-111.9257238 33.4191768)",0756
19,v,3044,2814,,,1,16,"LINESTRING(-111.9446676 33.4300474,-111.9226 33.418994)",0724
