name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
South Farmer Avenue,0,5590090,2471,2124,1,33.003536182621914,1,29,,residential,6,"LINESTRING (-111.9442627 33.4302, -111.9442601 33.4299032)",bike;walk;auto,1
South Farmer Avenue,1,5590090,2124,2471,1,33.003536182621914,1,29,,residential,6,"LINESTRING (-111.9442601 33.4299032, -111.9442627 33.4302)",bike;walk;auto,1
South Farmer Avenue,2,5590090,2124,2120,1,41.732579581305956,1,29,,residential,6,"LINESTRING (-111.9442601 33.4299032, -111.9442568 33.4295279)",bike;walk;auto,1
South Farmer Avenue,3,5590090,2120,2124,1,41.732579581305956,1,29,,residential,6,"LINESTRING (-111.9442568 33.4295279, -111.9442601 33.4299032)",bike;walk;auto,1
South Farmer Avenue,4,5590090,2120,1,1,1.3788483180202584,1,29,,residential,6,"LINESTRING (-111.9442568 33.4295279, -111.9442567 33.4295155)",bike;walk;auto,1
South Farmer Avenue,5,5590090,1,2120,1,1.3788483180202584,1,29,,residential,6,"LINESTRING (-111.9442567 33.4295155, -111.9442568 33.4295279)",bike;walk;auto,1
East 6th Street,6,5591077,14,120,1,6.488351988946678,1,29,,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.930412 33.4231839)",bike;walk;auto,1
East 6th Street,7,5591077,120,14,1,6.488351988946678,1,29,,residential,6,"LINESTRING (-111.930412 33.4231839, -111.9304264 33.4231268)",bike;walk;auto,1
East 6th Street,8,5591077,120,192,1,4.9859055803012176,1,29,,residential,6,"LINESTRING (-111.930412 33.4231839, -111.9304005 33.4232277)",bike;walk;auto,1
East 6th Street,9,5591077,192,120,1,4.9859055803012176,1,29,,residential,6,"LINESTRING (-111.9304005 33.4232277, -111.930412 33.4231839)",bike;walk;auto,1
East 6th Street,10,5591077,192,2181,1,7.569980636190462,1,29,,residential,6,"LINESTRING (-111.9304005 33.4232277, -111.9303882 33.423295)",bike;walk;auto,1
East 6th Street,11,5591077,2181,192,1,7.569980636190462,1,29,,residential,6,"LINESTRING (-111.9303882 33.423295, -111.9304005 33.4232277)",bike;walk;auto,1
East 6th Street,12,5591077,2181,15,1,184.2463406734256,1,29,,residential,6,"LINESTRING (-111.9303882 33.423295, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.930243 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.929686 33.4241011, -111.929663 33.424109, -111.9292198 33.4242567, -111.9290798 33.4242989)",bike;walk;auto,1
East 6th Street,13,5591077,15,2181,1,184.2463406734256,1,29,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.929663 33.424109, -111.929686 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.930243 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.423295)",bike;walk;auto,1
West 6th Street,14,5591085,502,2288,1,51.80434670757692,1,25,,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409)",bike;walk;auto,1
West 6th Street,15,5591085,2288,502,1,51.80434670757692,1,25,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9412665 33.4243385)",bike;walk;auto,1
West 6th Street,16,5591085,2288,17,1,58.44003270071547,1,25,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9400786 33.4243437)",bike;walk;auto,1
West 6th Street,17,5591085,17,2288,1,58.44003270071547,1,25,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409)",bike;walk;auto,1
East 6th Street,18,5591100,367,2239,1,7.6579798258827,1,25,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581)",bike;walk;auto,1
East 6th Street,19,5591100,2239,367,1,7.6579798258827,1,25,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9376334 33.4243567)",bike;walk;auto,1
East 6th Street,20,5591100,2239,2235,1,17.89278234335368,1,25,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9373581 33.4243583)",bike;walk;auto,1
East 6th Street,21,5591100,2235,2239,1,17.89278234335368,1,25,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9375509 33.4243581)",bike;walk;auto,1
East 6th Street,22,5591100,2235,1860,1,55.76646795853259,1,25,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9367572 33.424359)",bike;walk;auto,1
East 6th Street,23,5591100,1860,2235,1,55.76646795853259,1,25,,residential,6,"LINESTRING (-111.9367572 33.424359, -111.9373581 33.4243583)",bike;walk;auto,1
East 6th Street,24,5591100,1860,19,1,8.463806439416324,1,25,,residential,6,"LINESTRING (-111.9367572 33.424359, -111.936666 33.4243591)",bike;walk;auto,1
East 6th Street,25,5591100,19,1860,1,8.463806439416324,1,25,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9367572 33.424359)",bike;walk;auto,1
East 6th Street,26,5591100,19,1859,1,9.79113526020243,1,25,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9365605 33.4243597)",bike;walk;auto,1
East 6th Street,27,5591100,1859,19,1,9.79113526020243,1,25,,residential,6,"LINESTRING (-111.9365605 33.4243597, -111.936666 33.4243591)",bike;walk;auto,1
East 6th Street,28,5591100,1859,1232,1,30.32014810520578,1,25,,residential,6,"LINESTRING (-111.9365605 33.4243597, -111.9362338 33.4243617)",bike;walk;auto,1
East 6th Street,29,5591100,1232,1859,1,30.32014810520578,1,25,,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9365605 33.4243597)",bike;walk;auto,1
East 6th Street,30,5591100,1232,2317,1,35.05323075738288,1,25,,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9358561 33.4243639)",bike;walk;auto,1
East 6th Street,31,5591100,2317,1232,1,35.05323075738288,1,25,,residential,6,"LINESTRING (-111.9358561 33.4243639, -111.9362338 33.4243617)",bike;walk;auto,1
East 6th Street,32,5591100,2317,1238,1,32.324758324732635,1,25,,residential,6,"LINESTRING (-111.9358561 33.4243639, -111.9355078 33.424366)",bike;walk;auto,1
East 6th Street,33,5591100,1238,2317,1,32.324758324732635,1,25,,residential,6,"LINESTRING (-111.9355078 33.424366, -111.9358561 33.4243639)",bike;walk;auto,1
