activity_zone_id,grid_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,zone_type
3,1.0,A3,-111.9415252,33.4300788,"POLYGON ((-111.94225000000002 33.42998,-111.94225000000002 33.43078,-111.94088000000002 33.43078,-111.94088000000002 33.42998,-111.94225000000002 33.42998))",POINT (-111.9415252 33.4300788),1,0,0,0,0,0,0,demand_zone
4,3.0,A4,-111.9395159,33.430268,"POLYGON ((-111.94088000000002 33.42998,-111.94088000000002 33.43078,-111.93951000000003 33.43078,-111.93951000000003 33.42998,-111.94088000000002 33.42998))",POINT (-111.9395159 33.430268),1,0,0,0,0,0,0,demand_zone
5,4.0,A5,-111.9384709,33.4306011,"POLYGON ((-111.93951000000003 33.42998,-111.93951000000003 33.43078,-111.93814000000003 33.43078,-111.93814000000003 33.42998,-111.93951000000003 33.42998))",POINT (-111.9384709 33.4306011),1,0,0,0,0,0,0,demand_zone
8,5.0,A8,-111.934262,33.430779,"POLYGON ((-111.93540000000004 33.42998,-111.93540000000004 33.43078,-111.93403000000005 33.43078,-111.93403000000005 33.42998,-111.93540000000004 33.42998))",POINT (-111.934262 33.430779),1,0,0,0,0,0,0,demand_zone
10,8.0,A10,-111.9321107,33.4305406,"POLYGON ((-111.93266000000006 33.42998,-111.93266000000006 33.43078,-111.93129000000006 33.43078,-111.93129000000006 33.42998,-111.93266000000006 33.42998))",POINT (-111.9321107 33.4305406),1,0,0,0,0,0,0,demand_zone
22,10.0,B2,-111.9426775,33.42982095,"POLYGON ((-111.9436168 33.42918,-111.9436168 33.42998,-111.9422468 33.42998,-111.9422468 33.42918,-111.9436168 33.42918))",POINT (-111.9426775 33.42982095),2,0,0,1,0,1,0,demand_zone
29,21.0,B9,-111.9331848,33.429885,"POLYGON ((-111.93402680000004 33.42918,-111.93402680000004 33.42998,-111.93265680000005 33.42998,-111.93265680000005 33.42918,-111.93402680000004 33.42918))",POINT (-111.9331848 33.429885),1,0,0,0,0,0,0,demand_zone
30,22.0,B10,-111.9317781,33.4297731,"POLYGON ((-111.93265680000005 33.42918,-111.93265680000005 33.42998,-111.93128680000005 33.42998,-111.93128680000005 33.42918,-111.93265680000005 33.42918))",POINT (-111.9317781 33.4297731),1,0,0,0,0,0,0,demand_zone
31,29.0,B11,-111.9301937,33.4297,"POLYGON ((-111.93128680000005 33.42918,-111.93128680000005 33.42998,-111.92991680000006 33.42998,-111.92991680000006 33.42918,-111.93128680000005 33.42918))",POINT (-111.9301937 33.4297),1,0,0,0,0,0,0,demand_zone
33,30.0,B13,-111.9280683,33.4293778,"POLYGON ((-111.92854680000006 33.42918,-111.92854680000006 33.42998,-111.92717680000007 33.42998,-111.92717680000007 33.42918,-111.92854680000006 33.42918))",POINT (-111.9280683 33.4293778),1,0,0,0,0,1,0,demand_zone
35,31.0,B15,-111.924806,33.4293143,"POLYGON ((-111.92580680000007 33.42918,-111.92580680000007 33.42998,-111.92443680000008 33.42998,-111.92443680000008 33.42918,-111.92580680000007 33.42918))",POINT (-111.924806 33.4293143),1,0,0,0,0,1,0,demand_zone
43,33.0,C3,-111.9413884,33.42891865,"POLYGON ((-111.9422468 33.428380000000004,-111.9422468 33.42918,-111.94087680000001 33.42918,-111.94087680000001 33.428380000000004,-111.9422468 33.428380000000004))",POINT (-111.9413884 33.42891865),2,0,0,0,0,1,0,demand_zone
44,35.0,C4,-111.9400354,33.4290615,"POLYGON ((-111.94087680000001 33.428380000000004,-111.94087680000001 33.42918,-111.93950680000002 33.42918,-111.93950680000002 33.428380000000004,-111.94087680000001 33.428380000000004))",POINT (-111.9400354 33.4290615),2,0,0,0,0,0,0,demand_zone
45,41.0,C5,-111.9392637,33.4288908,"POLYGON ((-111.93950680000002 33.428380000000004,-111.93950680000002 33.42918,-111.93813680000002 33.42918,-111.93813680000002 33.428380000000004,-111.93950680000002 33.428380000000004))",POINT (-111.9392637 33.4288908),1,0,0,0,0,0,0,demand_zone
53,43.0,C13,-111.9281838,33.4284897,"POLYGON ((-111.92854680000006 33.428380000000004,-111.92854680000006 33.42918,-111.92717680000007 33.42918,-111.92717680000007 33.428380000000004,-111.92854680000006 33.428380000000004))",POINT (-111.9281838 33.4284897),1,0,0,0,0,0,0,demand_zone
