agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
1,v,150,169,,,5,6,"LINESTRING(-109.5697317 37.2838803,-109.5573399 37.2838146)",0726
2,v,163,165,,,5,7,"LINESTRING(-109.5697349 37.2837554,-109.5565946 37.2854171)",0708
3,v,163,180,,,5,8,"LINESTRING(-109.5697349 37.2837554,-109.5419113 37.287715)",0744
4,v,150,20,,83629534.0,5,9,"LINESTRING(-109.5697317 37.2838803,-109.571338 37.282287)",0751
5,v,163,51,,83734493.0,5,10,"LINESTRING(-109.5697349 37.2837554,-109.5681977 37.2815162)",0740
6,v,150,187,,,5,11,"LINESTRING(-109.5697317 37.2838803,-109.5563003 37.2823813)",0758
7,v,163,191,,,5,12,"LINESTRING(-109.5697349 37.2837554,-109.5405438 37.2834472)",0708
8,v,150,142,,,5,19,"LINESTRING(-109.5697317 37.2838803,-109.5376123 37.2955)",0707
9,v,150,137,,,5,21,"LINESTRING(-109.5697317 37.2838803,-109.5306 37.2846293)",0717
10,v,58,150,83741039.0,,6,5,"LINESTRING(-109.5669459 37.283577,-109.5697317 37.2838803)",0756
11,v,88,155,1331799412.0,,6,7,"LINESTRING(-109.5570964 37.289252,-109.552491 37.2840426)",0707
12,v,222,242,,,6,7,"LINESTRING(-109.5579112 37.2852333,-109.554981 37.283765)",0721
13,v,214,167,,,6,7,"LINESTRING(-109.5591086 37.2851679,-109.552902 37.2841229)",0712
14,v,164,217,,,6,7,"LINESTRING(-109.5583507 37.2871624,-109.5522611 37.2840106)",0740
15,v,192,194,,,6,7,"LINESTRING(-109.5595412 37.2848753,-109.5533619 37.2837946)",0739
16,v,174,226,,,6,7,"LINESTRING(-109.568227 37.2839252,-109.5533622 37.2838591)",0723
17,v,220,167,,,6,7,"LINESTRING(-109.5574885 37.2837023,-109.552902 37.2841229)",0711
18,v,5,188,83614583.0,,6,7,"LINESTRING(-109.5588703 37.2854701,-109.5473324 37.2872509)",0751
19,v,168,105,,3634636956.0,6,7,"LINESTRING(-109.5580456 37.2839477,-109.5534637 37.2877532)",0744
20,v,81,233,1030045659.0,,6,7,"LINESTRING(-109.5652556 37.2883349,-109.5530985 37.2841156)",0704
21,v,81,248,1030045659.0,,6,7,"LINESTRING(-109.5652556 37.2883349,-109.5526718 37.283743)",0755
22,v,6,215,83614585.0,,6,7,"LINESTRING(-109.5600255 37.285309,-109.5568614 37.2854049)",0716
23,v,177,176,,,6,7,"LINESTRING(-109.5599343 37.2857083,-109.5448831 37.2860932)",0751
24,v,17,159,83629512.0,,6,7,"LINESTRING(-109.5684056 37.2837785,-109.5532719 37.2841136)",0734
25,v,154,194,,,6,7,"LINESTRING(-109.5601268 37.2856711,-109.5533619 37.2837946)",0752
26,v,152,37,,83713259.0,6,7,"LINESTRING(-109.5574927 37.28401,-109.5536859 37.285694)",0703
27,v,214,179,,,6,7,"LINESTRING(-109.5591086 37.2851679,-109.5528572 37.2835536)",0708
28,v,175,178,,,6,7,"LINESTRING(-109.5598115 37.2846327,-109.5540142 37.2838359)",0742
29,v,205,196,,,6,7,"LINESTRING(-109.55757 37.2852757,-109.5522161 37.2841824)",0728
