name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link
,0,10132985,134,100,1,172.1131682994571,2,29,,track,10,"LINESTRING (-109.5450175 37.2955, -109.5450853 37.295419, -109.5452355 37.2952313, -109.5453214 37.2950691, -109.5455789 37.2945357, -109.5456486 37.2943052, -109.5457076 37.2940662)",bike;walk,0,0
,1,10134448,2,3,1,44.47566666124841,1,29,,service,7,"LINESTRING (-109.5720777 37.2812169, -109.5720106 37.2808205)",bike;walk,1,0
,2,10134448,3,2,1,44.47566666124841,1,29,,service,7,"LINESTRING (-109.5720106 37.2808205, -109.5720777 37.2812169)",bike;walk,1,0
,3,10135111,4,5,1,44.050264087609115,1,29,,residential,6,"LINESTRING (-109.5583982 37.285596, -109.5588703 37.2854701)",auto;bike;walk,1,0
,4,10135111,5,4,1,44.050264087609115,1,29,,residential,6,"LINESTRING (-109.5588703 37.2854701, -109.5583982 37.285596)",auto;bike;walk,1,0
,5,10135111,5,6,1,103.75835579446438,1,29,,residential,6,"LINESTRING (-109.5588703 37.2854701, -109.5600255 37.285309)",auto;bike;walk,1,0
,6,10135111,6,5,1,103.75835579446438,1,29,,residential,6,"LINESTRING (-109.5600255 37.285309, -109.5588703 37.2854701)",auto;bike;walk,1,0
6th East Street,7,10135116,109,122,1,58.97441059783642,1,29,,residential,6,"LINESTRING (-109.5519226 37.2830468, -109.5519244 37.2831354, -109.5519334 37.2835771)",auto;bike;walk,1,0
6th East Street,8,10135116,122,109,1,58.97441059783642,1,29,,residential,6,"LINESTRING (-109.5519334 37.2835771, -109.5519244 37.2831354, -109.5519226 37.2830468)",auto;bike;walk,1,0
6th East Street,9,10135116,122,110,1,90.06845853048846,1,29,,residential,6,"LINESTRING (-109.5519334 37.2835771, -109.5519498 37.284387)",auto;bike;walk,1,0
6th East Street,10,10135116,110,122,1,90.06845853048846,1,29,,residential,6,"LINESTRING (-109.5519498 37.284387, -109.5519334 37.2835771)",auto;bike;walk,1,0
6th East Street,11,10135116,110,7,1,148.13090307737434,1,29,,residential,6,"LINESTRING (-109.5519498 37.284387, -109.5519768 37.285719)",auto;bike;walk,1,0
6th East Street,12,10135116,7,110,1,148.13090307737434,1,29,,residential,6,"LINESTRING (-109.5519768 37.285719, -109.5519498 37.284387)",auto;bike;walk,1,0
,13,10136443,9,10,1,1607.1698654445115,1,29,,track,10,"LINESTRING (-109.5499186 37.2761264, -109.5492831 37.2759975, -109.5486221 37.2760043, -109.5479439 37.2762859, -109.5474577 37.2764217, -109.546678 37.276484, -109.5443046 37.2768407, -109.5415446 37.2771655, -109.5397958 37.2774139, -109.5383903 37.2776709, -109.5379449 37.277727, -109.5373885 37.2777127, -109.5368169 37.2776406, -109.5366303 37.277688, -109.5363958 37.2779022, -109.5361357 37.2779765, -109.5352201 37.2779791, -109.5344058 37.2780367, -109.5337826 37.278151, -109.5335246 37.2782358, -109.5333328 37.2783466, -109.5331402 37.2784414, -109.5327142 37.278505, -109.5326145 37.2785754, -109.5325662 37.2786688, -109.5325501 37.2787755)",bike;walk,0,0
,14,10137273,13,14,1,133.50911234958727,1,29,,residential,6,"LINESTRING (-109.5683662 37.2832676, -109.5698717 37.2831853)",auto;bike;walk,1,0
