name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
,0,83561698.0,,,0.0,,primary,0.0,-109.5756005,37.2803208,,,,,0.0,0.0,
,1,83561715.0,,,0.0,,track,0.0,-109.5823271,37.283115,,,,,0.0,0.0,
,2,83607361.0,,,0.0,,primary,0.0,-109.5720777,37.2812169,,,,,0.0,0.0,
,3,83607364.0,,,0.0,,service,1.0,-109.57201059999998,37.2808205,,,,26,0.0,0.0,boundary
,4,83614581.0,,,0.0,,residential,0.0,-109.5583982,37.28559600000001,,,,6,10.0,10.0,residential
,5,83614583.0,,,0.0,,residential,0.0,-109.5588703,37.2854701,,,,6,10.0,10.0,residential
,6,83614585.0,,,0.0,,residential,0.0,-109.5600255,37.28530900000001,,,,6,10.0,10.0,residential
,7,83614587.0,,,0.0,,residential,0.0,-109.5519768,37.285719,,,,7,10.0,10.0,residential
,8,83614591.0,,,0.0,,residential,0.0,-109.55206409999998,37.2869207,,,,7,10.0,10.0,residential
,9,83623854.0,,,0.0,,track,1.0,-109.5499186,37.2761264,,,,24,0.0,0.0,boundary
,10,83623885.0,,,0.0,,track,0.0,-109.5325501,37.2787755,,,,,0.0,0.0,
,11,83623886.0,turning_circle,,0.0,,service,0.0,-109.5325877,37.2819021,,,,,0.0,0.0,
,12,83623891.0,,,0.0,,primary,0.0,-109.532526,37.2845686,,,,,0.0,0.0,
,13,83629495.0,,,0.0,,residential,0.0,-109.5683662,37.2832676,,,,10,10.0,10.0,residential
,14,83629496.0,,,0.0,,residential,0.0,-109.5698717,37.28318529999999,,,,9,10.0,10.0,residential
,15,83629497.0,,,0.0,,residential,0.0,-109.5713788,37.2830515,,,,9,10.0,10.0,residential
,16,83629503.0,,,0.0,,service,0.0,-109.5695315,37.2838956,,,,,0.0,0.0,
,17,83629512.0,,,0.0,,residential,0.0,-109.5684056,37.2837785,,,,6,10.0,10.0,residential
,18,83629530.0,,,0.0,,residential,0.0,-109.5682903,37.2824789,,,,10,10.0,10.0,residential
,19,83629532.0,,,0.0,,residential,0.0,-109.5698132,37.28238620000001,,,,9,10.0,10.0,residential
,20,83629534.0,,,0.0,,residential,0.0,-109.57133799999998,37.282287,,,,9,10.0,10.0,residential
,21,83629536.0,,,0.0,,residential,1.0,-109.5725263,37.282224,,,,26,0.0,0.0,boundary
,22,83640940.0,,,0.0,,track,0.0,-109.5316757,37.2883746,,,,,0.0,0.0,
,23,83651071.0,,,0.0,,residential,0.0,-109.5591938,37.2857107,,,,6,10.0,10.0,residential
