name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,0,358558942,,yes,,,"POLYGON ((-109.5506498 37.2847383, -109.5505171 37.2847418, -109.5505111 37.2845978, -109.5506437 37.2845943, -109.5506498 37.2847383))",POINT (-109.5505804 37.2846681),187.0,2013.3,7
,1,598416941,,,parking,,"POLYGON ((-109.5527313 37.2842271, -109.5525795 37.2842275, -109.5525021 37.2842277, -109.5525028 37.2843855, -109.5527868 37.2843847, -109.5529389 37.2843843, -109.5529382 37.2842265, -109.5527313 37.2842271))",POINT (-109.5527205 37.284306),676.5,7282.2,7
Navajo Hogan,2,700481293,,yes,,,"POLYGON ((-109.5524226 37.2837136, -109.5524179 37.2836998, -109.5524052 37.2836898, -109.552388 37.2836862, -109.5523707 37.2836899, -109.5523581 37.2837, -109.5523535 37.2837137, -109.5523582 37.2837275, -109.5523709 37.2837375, -109.5523882 37.2837411, -109.5524054 37.2837374, -109.552418 37.2837273, -109.5524226 37.2837136))",POINT (-109.5523881 37.2837137),28.2,303.1,7
,3,655266490,,yes,,,"POLYGON ((-109.5697834 37.2839294, -109.5696958 37.2839376, -109.56968 37.2838312, -109.5697675 37.2838229, -109.5697834 37.2839294))",POINT (-109.5697317 37.2838803),93.8,1009.2,5
,4,903894893,,yes,,,"POLYGON ((-109.5583717 37.2840434, -109.5583653 37.283967, -109.5582489 37.2839732, -109.5582553 37.2840496, -109.5583717 37.2840434))",POINT (-109.5583103 37.2840083),88.0,946.9,6
,5,903894892,,yes,,,"POLYGON ((-109.5576132 37.2840501, -109.5576156 37.2839656, -109.5573821 37.2839615, -109.5573793 37.2840614, -109.5575005 37.2840636, -109.5575009 37.2840481, -109.5576132 37.2840501))",POINT (-109.5574927 37.28401),212.2,2283.6,6
Bluff Elementary School,6,359676271,,,school,,"POLYGON ((-109.5519498 37.284387, -109.5505836 37.2844047, -109.5504951 37.2844164, -109.5503959 37.2844538, -109.5503518 37.2830853, -109.5506936 37.2830632, -109.5519226 37.2830468, -109.5519244 37.2831354, -109.5519334 37.2835771, -109.5519498 37.284387))",POINT (-109.5511544 37.2837281),20611.0,221854.7,7
,7,903894913,,house,,,"POLYGON ((-109.5602072 37.2857281, -109.5601283 37.2857425, -109.5601167 37.2857026, -109.5600745 37.2857103, -109.5600487 37.2856211, -109.5601539 37.2856019, -109.5601776 37.2856839, -109.5601936 37.285681, -109.5602072 37.2857281))",POINT (-109.5601268 37.2856711),130.6,1405.8,6
,8,700481297,,yes,,,"POLYGON ((-109.5525162 37.2840141, -109.5525165 37.2840709, -109.5525014 37.2840709, -109.5524658 37.284071, -109.5524656 37.2840143, -109.5525162 37.2840141))",POINT (-109.552491 37.2840426),28.4,305.2,7
,9,903894890,,house,,,"POLYGON ((-109.557737 37.2846088, -109.5575625 37.284609, -109.5575624 37.2845222, -109.5575987 37.2845221, -109.5575987 37.2845054, -109.5577368 37.2845052, -109.557737 37.2846088))",POINT (-109.5576521 37.2845586),171.6,1847.0,6
,10,520405749,,yes,,,"POLYGON ((-109.5544903 37.2840278, -109.5544852 37.2837842, -109.5543162 37.2837865, -109.5543214 37.2840301, -109.5544903 37.2840278))",POINT (-109.5544033 37.2839071),405.1,4360.5,7
,11,903894899,,yes,,,"POLYGON ((-109.5574302 37.2832615, -109.5574277 37.2831892, -109.5572889 37.2831922, -109.5572911 37.283257, -109.5572097 37.2832587, -109.5572143 37.2833932, -109.5571679 37.2833942, -109.5571695 37.2834393, -109.5572834 37.2834368, -109.5572819 37.2833916, -109.5574747 37.2833875, -109.5574704 37.2832606, -109.5574302 37.2832615))",POINT (-109.5573324 37.2833148),480.4,5171.5,10
Kumen Jones,12,700481278,,yes,,,"POLYGON ((-109.5532233 37.2841766, -109.5532227 37.2840353, -109.5532882 37.2840351, -109.5532884 37.2841035, -109.5533429 37.2841034, -109.5533432 37.284166, -109.5532887 37.2841662, -109.5532888 37.2841764, -109.5532233 37.2841766))",POINT (-109.5532719 37.2841136),124.5,1340.4,7
,13,520405744,,yes,,,"POLYGON ((-109.5671249 37.2824199, -109.5671198 37.2823129, -109.5670172 37.282316, -109.5670222 37.282423, -109.5671249 37.2824199))",POINT (-109.567071 37.282368),108.0,1162.2,10
Charles Walton,14,700481280,,yes,,,"POLYGON ((-109.5528843 37.283402, -109.5528288 37.2834021, -109.5528286 37.2833513, -109.5528841 37.2833511, -109.5528843 37.283402))",POINT (-109.5528565 37.2833766),28.2,303.7,11
,15,358558938,,yes,,,"POLYGON ((-109.5591137 37.2825963, -109.5588279 37.2826065, -109.5588174 37.2824195, -109.5591032 37.2824093, -109.5591137 37.2825963))",POINT (-109.5589656 37.2825079),528.3,5686.8,10
