o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
3,A3,3,A3,0.0,"LINESTRING (-76.3264722 36.9557455,-76.3264722 36.9557455)"
3,A3,4,A4,1.5920480164533597,"LINESTRING (-76.3264722 36.9557455,-76.3106283 36.9603506)"
3,A3,5,A5,4.325133004382707,"LINESTRING (-76.3264722 36.9557455,-76.282595 36.9649127)"
3,A3,6,A6,6.6397836078645,"LINESTRING (-76.3264722 36.9557455,-76.2576792 36.9540828)"
3,A3,11,B1,7.499982063934796,"LINESTRING (-76.3264722 36.9557455,-76.4033078 36.9440002)"
3,A3,13,B3,1.6770608712723738,"LINESTRING (-76.3264722 36.9557455,-76.3277991 36.9384155)"
3,A3,14,B4,2.156909425333892,"LINESTRING (-76.3264722 36.9557455,-76.3121302 36.9385992)"
3,A3,15,B5,5.550750382587823,"LINESTRING (-76.3264722 36.9557455,-76.2713991 36.9391242)"
3,A3,16,B6,7.278375886501803,"LINESTRING (-76.3264722 36.9557455,-76.2527614 36.9397266)"
3,A3,17,B7,9.755324920736623,"LINESTRING (-76.3264722 36.9557455,-76.2275085 36.9350627)"
3,A3,18,B8,12.487629925192149,"LINESTRING (-76.3264722 36.9557455,-76.1994865 36.930768)"
3,A3,21,C1,8.651858096314678,"LINESTRING (-76.3264722 36.9557455,-76.4104376 36.9242846)"
3,A3,24,C4,3.9678312816381824,"LINESTRING (-76.3264722 36.9557455,-76.3078151 36.9190998)"
3,A3,25,C5,5.932153253416709,"LINESTRING (-76.3264722 36.9557455,-76.2784736 36.9173286)"
3,A3,26,C6,8.033118875377282,"LINESTRING (-76.3264722 36.9557455,-76.2520112 36.9185073)"
3,A3,27,C7,10.50761462827288,"LINESTRING (-76.3264722 36.9557455,-76.2239244 36.919101)"
3,A3,28,C8,13.09432567981369,"LINESTRING (-76.3264722 36.9557455,-76.195222 36.9212542)"
3,A3,29,C9,15.863672865271608,"LINESTRING (-76.3264722 36.9557455,-76.1665331 36.9176762)"
3,A3,30,C10,19.081753085987934,"LINESTRING (-76.3264722 36.9557455,-76.1331301 36.9141837)"
3,A3,31,D1,9.411114180072303,"LINESTRING (-76.3264722 36.9557455,-76.400273 36.8919767)"
3,A3,32,D2,8.26024604240204,"LINESTRING (-76.3264722 36.9557455,-76.3824157 36.8909462)"
3,A3,34,D4,6.188076317065731,"LINESTRING (-76.3264722 36.9557455,-76.3062168 36.8948964)"
3,A3,35,D5,7.124716961794176,"LINESTRING (-76.3264722 36.9557455,-76.2808489 36.8976878)"
3,A3,36,D6,9.093572579843608,"LINESTRING (-76.3264722 36.9557455,-76.2510491 36.8992369)"
3,A3,37,D7,11.320230105494504,"LINESTRING (-76.3264722 36.9557455,-76.2253942 36.8961866)"
3,A3,38,D8,14.63412744786369,"LINESTRING (-76.3264722 36.9557455,-76.1849887 36.9011141)"
3,A3,39,D9,16.526360941521503,"LINESTRING (-76.3264722 36.9557455,-76.1652158 36.8980255)"
3,A3,40,D10,19.14457481505302,"LINESTRING (-76.3264722 36.9557455,-76.1365021 36.8984929)"
3,A3,41,E1,10.392091524926508,"LINESTRING (-76.3264722 36.9557455,-76.3986032 36.8757662)"
3,A3,42,E2,9.102995853521849,"LINESTRING (-76.3264722 36.9557455,-76.3770172 36.8760868)"
3,A3,43,E3,7.490021872719754,"LINESTRING (-76.3264722 36.9557455,-76.345751 36.8805527)"
3,A3,44,E4,7.942722271600557,"LINESTRING (-76.3264722 36.9557455,-76.3049302 36.8762976)"
