agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
1,v,11960,8639,,,3,4,"LINESTRING(-76.3263258 36.9592697,-76.3256761 36.9617692)",0737
2,v,5065,9997,,,3,5,"LINESTRING(-76.3265488 36.9537639,-76.2813259 36.9655044)",0714
3,v,5742,251,,221039474,3,6,"LINESTRING(-76.3260815 36.9533909,-76.2501616 36.952568)",0800
4,v,10555,9847,,,3,13,"LINESTRING(-76.3269329 36.9565573,-76.3291121 36.9382394)",0732
5,v,10555,12529,,,3,14,"LINESTRING(-76.3269329 36.9565573,-76.3131625 36.9307196)",0736
6,v,5742,8231,,,3,15,"LINESTRING(-76.3260815 36.9533909,-76.2679525 36.9379361)",0702
7,v,11960,12961,,,3,16,"LINESTRING(-76.3263258 36.9592697,-76.2385049 36.9430926)",0752
8,v,5742,7210,,,3,17,"LINESTRING(-76.3260815 36.9533909,-76.2336456 36.9343454)",0715
9,v,10555,12131,,,3,18,"LINESTRING(-76.3269329 36.9565573,-76.2037215 36.9303672)",0727
10,v,5742,7342,,,3,24,"LINESTRING(-76.3260815 36.9533909,-76.3003806 36.9111627)",0727
11,v,10555,327,,221050235,3,25,"LINESTRING(-76.3269329 36.9565573,-76.2697866 36.9252189)",0757
12,v,5065,5864,,,3,26,"LINESTRING(-76.3265488 36.9537639,-76.2575069 36.9107625)",0756
13,v,5742,14152,,,3,27,"LINESTRING(-76.3260815 36.9533909,-76.2202674 36.9182826)",0747
14,v,5742,12296,,,3,28,"LINESTRING(-76.3260815 36.9533909,-76.1870822 36.9133188)",0722
15,v,5065,4517,,,3,29,"LINESTRING(-76.3265488 36.9537639,-76.1683157 36.9177972)",0717
16,v,10555,7095,,,3,30,"LINESTRING(-76.3269329 36.9565573,-76.1341631 36.9149748)",0710
17,v,11960,8630,,,3,31,"LINESTRING(-76.3263258 36.9592697,-76.4090287 36.889084)",0721
18,v,11960,10251,,,3,32,"LINESTRING(-76.3263258 36.9592697,-76.3844233 36.8893458)",0703
19,v,5065,11140,,,3,34,"LINESTRING(-76.3265488 36.9537639,-76.3056837 36.8924185)",0731
20,v,5742,9112,,,3,35,"LINESTRING(-76.3260815 36.9533909,-76.2747447 36.9001496)",0729
21,v,11960,10651,,,3,36,"LINESTRING(-76.3263258 36.9592697,-76.2496053 36.9064629)",0718
22,v,11960,12190,,,3,37,"LINESTRING(-76.3263258 36.9592697,-76.2354415 36.9038064)",0733
23,v,11960,1331,,221809353,3,38,"LINESTRING(-76.3263258 36.9592697,-76.1813716 36.9064309)",0748
24,v,10555,8417,,,3,39,"LINESTRING(-76.3269329 36.9565573,-76.170091 36.8925064)",0800
25,v,10555,1296,,221669156,3,40,"LINESTRING(-76.3269329 36.9565573,-76.130155 36.901521)",0711
26,v,5742,13638,,,3,41,"LINESTRING(-76.3260815 36.9533909,-76.4029167 36.8839651)",0727
27,v,5742,656,,221109330,3,42,"LINESTRING(-76.3260815 36.9533909,-76.3616782 36.8688783)",0754
28,v,11960,7650,,,3,43,"LINESTRING(-76.3263258 36.9592697,-76.3276171 36.8759343)",0758
29,v,10555,10511,,,3,44,"LINESTRING(-76.3269329 36.9565573,-76.3110881 36.8763019)",0748
30,v,5065,2015,,3658426082,3,45,"LINESTRING(-76.3265488 36.9537639,-76.2821328 36.8806812)",0721
31,v,5742,6658,,,3,46,"LINESTRING(-76.3260815 36.9533909,-76.2418979 36.8846288)",0730
32,v,11960,4254,,,3,47,"LINESTRING(-76.3263258 36.9592697,-76.2330446 36.8752811)",0716
33,v,10555,13183,,,3,48,"LINESTRING(-76.3269329 36.9565573,-76.184424 36.8863523)",0718
34,v,11960,9381,,,3,49,"LINESTRING(-76.3263258 36.9592697,-76.1696006 36.8759669)",0719
35,v,5742,11222,,,3,50,"LINESTRING(-76.3260815 36.9533909,-76.1469424 36.8810123)",0733
36,v,5742,11455,,,3,51,"LINESTRING(-76.3260815 36.9533909,-76.4103352 36.856906)",0705
37,v,5742,13469,,,3,52,"LINESTRING(-76.3260815 36.9533909,-76.3802366 36.8610885)",0759
38,v,5065,12072,,,3,53,"LINESTRING(-76.3265488 36.9537639,-76.3352569 36.8497704)",0747
39,v,5742,8508,,,3,54,"LINESTRING(-76.3260815 36.9533909,-76.3047191 36.858623)",0704
40,v,10555,1006,,221222300,3,55,"LINESTRING(-76.3269329 36.9565573,-76.285301 36.851472)",0735
41,v,5065,8816,,,3,56,"LINESTRING(-76.3265488 36.9537639,-76.2538997 36.8579637)",0734
42,v,5065,7938,,,3,57,"LINESTRING(-76.3265488 36.9537639,-76.2119829 36.8550967)",0744
43,v,5065,12140,,,3,58,"LINESTRING(-76.3265488 36.9537639,-76.1886111 36.859719)",0733
44,v,10555,5332,,,3,59,"LINESTRING(-76.3269329 36.9565573,-76.1684987 36.8557703)",0716
45,v,5742,7052,,,3,60,"LINESTRING(-76.3260815 36.9533909,-76.1407895 36.8655689)",0752
46,v,11960,4464,,,3,61,"LINESTRING(-76.3263258 36.9592697,-76.4048207 36.8448167)",0742
47,v,11960,3300,,,3,62,"LINESTRING(-76.3263258 36.9592697,-76.3597237 36.8305695)",0730
48,v,10555,13372,,,3,63,"LINESTRING(-76.3269329 36.9565573,-76.3330422 36.8314239)",0724
49,v,11960,870,,221165998,3,64,"LINESTRING(-76.3263258 36.9592697,-76.3083 36.829353)",0721
50,v,5742,1852,,1933749224,3,65,"LINESTRING(-76.3260815 36.9533909,-76.2881346 36.8366856)",0705
51,v,10555,1508,,609075486,3,66,"LINESTRING(-76.3269329 36.9565573,-76.2463846 36.845871)",0739
52,v,10555,6219,,,3,67,"LINESTRING(-76.3269329 36.9565573,-76.2208856 36.8457497)",0746
53,v,5065,13266,,,3,68,"LINESTRING(-76.3265488 36.9537639,-76.1862415 36.8368994)",0737
54,v,5065,11942,,,3,69,"LINESTRING(-76.3265488 36.9537639,-76.1728853 36.8320158)",0716
55,v,5742,1216,,221398506,3,70,"LINESTRING(-76.3260815 36.9533909,-76.123324 36.843263)",0737
56,v,5065,5025,,,3,71,"LINESTRING(-76.3265488 36.9537639,-76.4062526 36.8095893)",0728
57,v,5065,11698,,,3,72,"LINESTRING(-76.3265488 36.9537639,-76.3654037 36.8237328)",0742
58,v,11960,5472,,,3,73,"LINESTRING(-76.3263258 36.9592697,-76.3400573 36.8106409)",0752
59,v,11960,11329,,,3,74,"LINESTRING(-76.3263258 36.9592697,-76.3242329 36.8116557)",0719
60,v,10555,13713,,,3,75,"LINESTRING(-76.3269329 36.9565573,-76.2729969 36.8133805)",0743
