name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab,phy_grid_id
,0,220623199,,,0,,motorway,0,-76.279662,36.774661,,,,95,0.0,0.0,,95
,1,220623218,,,0,,motorway,0,-76.279687,36.774958000000005,,,,95,0.0,0.0,,95
,2,220623233,,,0,,motorway,0,-76.27969399999999,36.775084,,,,95,0.0,0.0,,95
,3,220623240,,,0,,motorway,0,-76.279923,36.775638,,,,95,0.0,0.0,,95
,4,220623266,motorway_junction,,0,,motorway,0,-76.280869,36.777629,,,,95,0.0,0.0,,95
,5,220626025,,,0,,primary,0,-76.362364,36.771953,,,,92,0.0,0.0,,92
,6,220626027,,,0,,motorway,0,-76.362368,36.772061,,,,92,0.0,0.0,,92
,7,220626148,,,0,,motorway,0,-76.369046,36.775151,,,,92,0.0,0.0,,92
,8,220628361,,,0,,motorway,0,-76.284423,36.786956,,,,85,0.0,0.0,,85
,9,220628394,,,0,,motorway,0,-76.2848124,36.7849899,,,,85,0.0,0.0,,85
,10,220628402,motorway_junction,,0,,motorway,0,-76.284885,36.78456,,,,85,0.0,0.0,,85
,11,220633634,,,0,,motorway,1,-76.266919,36.763435,,,,135,5.0,5.0,boundary,None
,12,220633645,,,0,,motorway,0,-76.264253,36.76559,,,,96,0.0,0.0,,96
,13,220634066,,,0,,motorway,1,-76.265741,36.763055,,,,135,5.0,5.0,boundary,None
,14,220634116,,,0,,motorway,1,-76.267287,36.763086,,,,136,5.0,5.0,boundary,None
,15,220634996,motorway_junction,,0,,motorway,0,-76.2536712,36.7738329,,,,96,0.0,0.0,,96
,16,220635126,,,0,,primary,0,-76.2541026,36.773194700000005,,,,96,0.0,0.0,,96
,17,220635509,motorway_junction,,0,,motorway,0,-76.28043199999999,36.810638,,,,75,0.0,0.0,,75
,18,220635632,,,0,,motorway,0,-76.2798849,36.8149169,,,,75,0.0,0.0,,75
,19,220640872,,,0,,motorway,0,-76.27982349999999,36.803847,,,,85,0.0,0.0,,85
,20,220640964,,,0,,motorway,0,-76.2806179,36.8101278,,,,75,0.0,0.0,,75
,21,220640996,,,0,,motorway,0,-76.28118020000001,36.8106658,,,,75,0.0,0.0,,75
,22,220641394,,,0,,primary,0,-76.237205,36.795376,,,,87,0.0,0.0,,87
,23,220641395,,,0,,primary,0,-76.237305,36.795463,,,,87,0.0,0.0,,87
,24,220642389,motorway_junction,,0,,motorway,0,-76.26374200000001,36.766594,,,,96,0.0,0.0,,96
,25,220642492,,,0,,motorway,0,-76.27056400000001,36.767101,,,,95,0.0,0.0,,95
,26,220642672,motorway_junction,,0,,motorway,0,-76.22417540000001,36.7891632,,,,87,0.0,0.0,,87
,27,220642682,motorway_junction,,0,,motorway,0,-76.229424,36.786774,,,,87,0.0,0.0,,87
,28,220642896,,,0,,primary,0,-76.260425,36.782037,,,,96,0.0,0.0,,96
,29,220643462,,,0,,primary,0,-76.34460200000001,36.772333,,,,93,0.0,0.0,,93
,30,220643508,,,0,,primary,0,-76.3437553,36.771266100000005,,,,93,0.0,0.0,,93
,31,220643563,,,0,,primary,0,-76.3436539,36.77120479999999,,,,93,0.0,0.0,,93
,32,220643589,,,0,,primary,0,-76.341082,36.772409,,,,93,0.0,0.0,,93
,33,220645357,,,0,,primary,0,-76.2855015,36.77813270000001,,,,95,0.0,0.0,,95
,34,220645362,,,0,,primary,0,-76.28502390000001,36.7780276,,,,95,0.0,0.0,,95
,35,220648616,,,0,,primary,0,-76.25869399999999,36.783182,,,,96,0.0,0.0,,96
,36,220648702,,,0,,primary,0,-76.258614,36.783352,,,,96,0.0,0.0,,96
,37,220649563,,,0,,motorway,0,-76.2817333,36.8127031,,,,75,0.0,0.0,,75
,38,220651179,,,0,,primary,0,-76.273877,36.775104,,,,95,0.0,0.0,,95
,39,220651199,,,0,,motorway,0,-76.2755526,36.7751802,,,,95,0.0,0.0,,95
,40,220651223,,,0,,motorway,0,-76.27964899999999,36.77709,,,,95,0.0,0.0,,95
,41,220653197,,,0,,motorway,0,-76.285216,36.784235,,,,85,0.0,0.0,,85
,42,220653204,,,0,,motorway,0,-76.2854048,36.7846701,,,,85,0.0,0.0,,85
,43,220653221,,,0,,motorway,0,-76.286045,36.786128000000005,,,,85,0.0,0.0,,85
,44,220653234,,,0,,motorway,0,-76.286086,36.786833,,,,85,0.0,0.0,,85
