poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
1,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.6,1,1
2,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
3,service,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,1
4,static_caravan,"1,000 Sq. Ft. GFA",1,0.1,0.46,1,1
5,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
6,public,"1,000 Sq. Ft. GFA",1,0.11,0.11,1,1
7,semidetached_house,"1,000 Sq. Ft. GFA",1,0.1,0.99,1,1
8,church,"1,000 Sq. Ft. GFA",1,0.49,0.1,1,1
9,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,1
10,detached,"1,000 Sq. Ft. GFA",1,0.1,0.99,1,1
11,warehouse,"1,000 Sq. Ft. GFA",1,0.19,0.1,1,1
12,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
13,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,1
14,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
15,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
16,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.15,1,1
17,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,1
18,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
19,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
20,hut,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
21,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
22,storage_tank,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
23,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
24,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,1,1
