name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link
,11,20560991.0,22,23,1,13.148053279764856,,,,primary,3,"LINESTRING (-76.237205 36.795376, -76.23730500000001 36.795463)",auto,1,1
,12,20560991.0,23,22,1,13.148053279764856,,,,primary,3,"LINESTRING (-76.23730500000001 36.795463, -76.237205 36.795376)",auto,1,1
,15,20561148.0,29,30,1,202.1831480983208,,,,primary,3,"LINESTRING (-76.34460199999999 36.772333, -76.344435 36.772315, -76.344275 36.772287, -76.343722 36.772174, -76.343614 36.772137, -76.343523 36.772077, -76.343457 36.771999, -76.343416 36.771912, -76.34340400000001 36.771817, -76.343424 36.771724, -76.343478 36.77164, -76.3437553 36.7712661)",auto,0,1
,16,20561271.0,34,33,1,44.11256865559226,,,,primary,3,"LINESTRING (-76.2850239 36.7780276, -76.2855015 36.7781327)",auto,0,1
,17,20561271.0,33,2109,1,105.15760174932754,,,,primary,3,"LINESTRING (-76.2855015 36.7781327, -76.2855388 36.7781714, -76.285549 36.778192, -76.285555 36.778232, -76.28554 36.778271, -76.2855015 36.7783102, -76.2852968 36.7784484, -76.28501900000001 36.778671, -76.284953 36.778705, -76.28490499999999 36.778715, -76.28483 36.778711, -76.284769 36.778694)",auto,0,1
,18,20561466.0,35,36,1,217.03768889203772,1.0,,,primary,3,"LINESTRING (-76.25869400000001 36.783182, -76.25896400000001 36.783064, -76.259108 36.783024, -76.259204 36.783016, -76.259299 36.783036, -76.259377 36.78308, -76.259433 36.783145, -76.259458 36.783221, -76.259449 36.783298, -76.25937 36.783429, -76.25928 36.783554, -76.259174 36.783673, -76.259102 36.783709, -76.259019 36.783726, -76.258934 36.783725, -76.258853 36.783701, -76.258785 36.783659, -76.258736 36.783601, -76.25867100000001 36.783477, -76.25861399999999 36.783352)",auto,0,1
,27,20562081.0,53,52,1,220.82340263054726,,,,primary,3,"LINESTRING (-76.340727 36.772525, -76.34089899999999 36.772536, -76.341007 36.772554, -76.341139 36.772597, -76.341257 36.772657, -76.34135999999999 36.772732, -76.341446 36.772824, -76.341604 36.773029, -76.34165 36.773101, -76.3417098 36.7732291, -76.3417263 36.7732941, -76.3417321 36.7733574, -76.341729 36.7734209, -76.34171859999999 36.7734839, -76.34169900000001 36.7735536, -76.3416697 36.7736147, -76.3416316 36.7736745, -76.3414969 36.7738553, -76.34144550000001 36.7740272)",auto,0,1
,29,20562113.0,28,124,1,264.6739524002901,1.0,,,primary,3,"LINESTRING (-76.260425 36.782037, -76.260051 36.782203, -76.259872 36.782273, -76.25967900000001 36.782317, -76.259484 36.782333, -76.259337 36.782326, -76.25919500000001 36.7823, -76.259056 36.782263, -76.258903 36.782213, -76.258758 36.782149, -76.258627 36.782072, -76.258504 36.781981, -76.258411 36.781885, -76.258335 36.781777, -76.25812139999999 36.7813782)",auto,0,1
,30,20562121.0,54,55,1,193.29106860405795,1.0,,,primary,3,"LINESTRING (-76.258458 36.782702, -76.258455 36.782578, -76.25846900000001 36.782454, -76.258495 36.782382, -76.258548 36.782323, -76.25862499999999 36.782279, -76.25871100000001 36.782258, -76.258803 36.782264, -76.258945 36.782298, -76.25908 36.782349, -76.259137 36.782397, -76.259176 36.782458, -76.259191 36.782525, -76.25918299999999 36.782591, -76.25914299999999 36.782661, -76.259086 36.782725, -76.258657 36.783027)",auto,0,1
,31,20562126.0,56,57,1,230.8275694710241,,,,primary,3,"LINESTRING (-76.258314 36.78322, -76.25785399999999 36.783409, -76.257774 36.783435, -76.257689 36.783436, -76.257611 36.783412, -76.257548 36.783368, -76.257508 36.783307, -76.25749999999999 36.78324, -76.257519 36.783174, -76.25784400000001 36.7827, -76.257893 36.782654, -76.257955 36.782624, -76.258028 36.782612, -76.25810199999999 36.782618, -76.25817000000001 36.782644, -76.25824 36.782693, -76.25829899999999 36.78278, -76.258366 36.782946)",auto,0,1
