name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,1,220623218,,,0,,motorway,0,-76.279687,36.774958000000005,,,
,2,220623233,,,0,,motorway,0,-76.27969399999999,36.775084,,,
,5,220626025,,,0,,primary,0,-76.362364,36.771953,,,
,6,220626027,,,0,,motorway,0,-76.362368,36.772061,,,
,16,220635126,,,0,,primary,0,-76.2541026,36.773194700000005,,,
,22,220641394,,,0,,primary,0,-76.237205,36.795376,,,
,23,220641395,,,0,,primary,0,-76.237305,36.795463,,,
,28,220642896,,,0,,primary,0,-76.260425,36.782037,,,
,29,220643462,,,0,,primary,0,-76.34460200000001,36.772333,,,
,30,220643508,,,0,,primary,0,-76.3437553,36.771266100000005,,,
,31,220643563,,,0,,primary,0,-76.3436539,36.77120479999999,,,
,32,220643589,,,0,,primary,0,-76.341082,36.772409,,,
,33,220645357,,,0,,primary,0,-76.2855015,36.77813270000001,,,
,34,220645362,,,0,,primary,0,-76.28502390000001,36.7780276,,,
,35,220648616,,,0,,primary,0,-76.25869399999999,36.783182000000004,,,
,36,220648702,,,0,,primary,0,-76.258614,36.783352,,,
,38,220651179,,,0,,primary,0,-76.273877,36.775104,,,
,46,220654788,,,0,,primary,0,-76.280897,36.775287,,,
,52,220659132,,,0,,primary,0,-76.34144549999999,36.774027200000006,,,
,53,220659184,,,0,,primary,0,-76.340727,36.772525,,,
,54,220659704,,,0,,primary,0,-76.25845799999999,36.782702,,,
,55,220659769,,,0,,primary,0,-76.258657,36.783027000000004,,,
,56,220659775,,,0,,primary,0,-76.258314,36.78322,,,
,57,220659840,,,0,,primary,0,-76.25836600000001,36.782946,,,
,59,220660550,,,0,,primary,0,-76.25486629999999,36.7743689,,,
,61,220669357,,,0,,primary,0,-76.413158,36.786637,,,
,62,220669410,,,0,,primary,0,-76.412474,36.787269,,,
,63,220670052,,,0,,primary,0,-76.32451,36.773455,,,
,64,220672777,,,0,,primary,0,-76.36737099999999,36.771952,,,
,65,220672782,,,0,,motorway,0,-76.367384,36.771843,,,
,68,220672969,,,0,,motorway,0,-76.368771,36.771921999999996,,,
,69,220672973,,,0,,primary,0,-76.368669,36.771815000000004,,,
,77,220678434,,,0,,primary,0,-76.256879,36.7773697,,,
,78,220680807,,,0,,primary,0,-76.286073,36.778042,,,
,79,220681852,,,0,,motorway,0,-76.275265,36.774839,,,
,80,220681855,,,0,,motorway,0,-76.27524100000001,36.774719,,,
,83,220690050,,,0,,primary,0,-76.286151,36.776773999999996,,,
,84,220690130,,,0,,primary,0,-76.2858556,36.7780396,,,
,85,220690206,,,0,,primary,0,-76.285286,36.7774235,,,
,88,220694775,,,0,,primary,0,-76.258499,36.783513,,,
,89,220694848,,,0,,primary,0,-76.258347,36.783377,,,
,90,220694966,,,0,,primary,0,-76.2580262,36.7816414,,,
,91,220696258,,,0,,primary,0,-76.344285,36.772452,,,
,95,220701195,,,0,,primary,0,-76.274328,36.774873,,,
,96,220702436,,,0,,primary,0,-76.3237514,36.7728907,,,
,99,220703625,,,0,,primary,0,-76.408913,36.865604,,,
,100,220703652,,,0,,primary,0,-76.4096141,36.8652369,,,
,101,220703713,,,0,,primary,0,-76.256764,36.784104,,,
,103,220704239,,,0,,primary,0,-76.286167,36.775165,,,
,104,220704312,,,0,,primary,0,-76.284838,36.776340000000005,,,
,105,220704361,,,0,,primary,0,-76.283641,36.776035,,,
,106,220705273,,,0,,primary,0,-76.237204,36.795538,,,
,107,220706656,,,0,,primary,0,-76.258834,36.784913,,,
,108,220707330,,,0,,primary,0,-76.258946,36.784804,,,
,109,220709780,,,0,,primary,1,-76.41433,36.78562,,,
,110,220709850,,,0,,primary,0,-76.41341899999999,36.786951,,,
,113,220715551,,,0,,primary,0,-76.358909,36.772028999999996,,,
,116,220719038,,,0,,primary,0,-76.28085300000001,36.77538,,,
,119,220721103,,,0,,primary,0,-76.2520849,36.767225200000006,,,
,120,220721115,traffic_signals,,1,,primary,0,-76.2522622,36.7684904,,,
,121,220721127,,,0,,primary,0,-76.2526568,36.770041299999995,,,
,122,220721170,,,0,,primary,0,-76.25761949999999,36.779126299999994,,,
,123,220721176,,,0,,primary,0,-76.25807370000001,36.781173100000004,,,
,124,220721180,,,0,,primary,0,-76.25812140000001,36.7813782,,,
,125,220721199,,,0,,primary,0,-76.2591436,36.7856682,,,
,126,220721306,traffic_signals,,1,,primary,0,-76.260388,36.791529,,,
,127,220721352,,,0,,primary,0,-76.25946979999999,36.7870363,,,
,128,220728410,,,0,,primary,0,-76.276134,36.804389,,,
,129,220728848,,,0,,primary,0,-76.406601,36.784481,,,
,130,220729274,traffic_signals,,1,,primary,0,-76.39315699999999,36.799403999999996,,,
,131,220742391,,,0,,primary,0,-76.272697,36.820592,,,
,132,220742410,,,0,,primary,0,-76.2710061,36.8224884,,,
,134,220744548,,,0,,primary,0,-76.271957,36.819936,,,
,136,220749430,,,0,,primary,0,-76.388702,36.802073,,,
,137,220749522,,,0,,primary,0,-76.402165,36.792968,,,
,138,220749536,,,0,,primary,0,-76.404376,36.791455,,,
,139,220749578,,,0,,primary,0,-76.40873959999999,36.7887768,,,
,141,220751697,traffic_signals,,1,,primary,0,-76.260108,36.815512299999995,,,
,142,220758217,,,0,,primary,1,-76.251109,36.763158700000005,,,
,143,220763817,,,0,,primary,0,-76.2764,36.80533,,,
,144,220764595,,,0,,primary,0,-76.261673,36.815055,,,
,145,220764643,,,0,,primary,0,-76.2604754,36.816344799999996,,,
,146,220764655,,,0,,primary,0,-76.26022409999999,36.8177937,,,
,147,220769965,,,0,,primary,0,-76.371747,36.771996,,,
,148,220769970,,,0,,primary,0,-76.371771,36.77189,,,
,149,220771055,,,0,,primary,0,-76.26239609999999,36.799660100000004,,,
,150,220775908,,,0,,primary,0,-76.40208309999998,36.784116499999996,,,
,151,220779112,,,0,,primary,0,-76.234842,36.797278000000006,,,
,152,220804644,,,0,,primary,0,-76.2672857,36.7778075,,,
,153,220804665,traffic_signals,,1,,primary,0,-76.267297,36.778209000000004,,,
,154,220804670,traffic_signals,,1,,primary,0,-76.267352,36.778328,,,
,155,220805008,,,0,,primary,0,-76.26065200000001,36.818014399999996,,,
,156,220805019,,,0,,primary,0,-76.2603469,36.819120299999994,,,
,157,220812682,,,0,,primary,0,-76.238713,36.794272,,,
,158,220812737,,,0,,primary,0,-76.25494300000001,36.785151,,,
,159,220812846,,,0,,primary,0,-76.285177,36.776438,,,
,160,220812868,,,0,,primary,0,-76.2886869,36.77671420000001,,,
,161,220812896,,,0,,primary,0,-76.2917431,36.775667600000006,,,
,162,220812904,,,0,,primary,0,-76.298128,36.7746304,,,
,163,220812948,,,0,,primary,0,-76.32441,36.772767,,,
,164,220812974,,,0,,primary,0,-76.345535,36.772313,,,
,165,220813486,,,0,,primary,0,-76.237874,36.795044,,,
,166,220813488,,,0,,primary,0,-76.23881300000001,36.79437,,,
,167,220813538,,,0,,primary,0,-76.25505600000001,36.785276,,,
,168,220813744,,,0,,primary,0,-76.289158,36.776649400000004,,,
,169,220813755,,,0,,primary,0,-76.29177179999999,36.7757735,,,
,170,220813777,,,0,,primary,0,-76.298149,36.7747101,,,
,171,220813852,,,0,,primary,0,-76.34262079999999,36.7724805,,,
,172,220813855,,,0,,primary,0,-76.34554200000001,36.772424,,,
,173,220813980,,,0,,primary,0,-76.3986262,36.7824505,,,
,174,220814040,,,0,,primary,0,-76.4083992,36.7846008,,,
,175,220817022,,,0,,primary,0,-76.2844866,36.7794029,,,
,176,220817141,,,0,,primary,0,-76.285359,36.776740000000004,,,
,177,220832580,,,0,,primary,0,-76.279134,36.792812,,,
,178,220855890,,,0,,primary,0,-76.33618100000001,36.780840000000005,,,
,193,220908784,,,0,,primary,1,-76.24045100000001,36.7921086,,,
,194,220912267,,,0,,primary,0,-76.2764553,36.7996276,,,
,195,220914628,,,0,,primary,0,-76.3442872,36.76319960000001,,,
,196,220914663,,,0,,primary,0,-76.346315,36.766092799999996,,,
,197,220914675,,,0,,primary,0,-76.34676429999999,36.7667985,,,
,198,220927096,,,0,,primary,0,-76.32879840000001,36.793018,,,
,199,220928467,,,0,,primary,0,-76.276103,36.802553,,,
,200,220928475,,,0,,primary,0,-76.276196,36.801801,,,
,201,220928503,,,0,,primary,0,-76.2828282,36.7835831,,,
,202,220933061,,,0,,primary,0,-76.398922,36.861478000000005,,,
,233,221035225,,,0,,primary,0,-76.27600699999999,36.850836,,,
,240,221036784,,,0,,primary,0,-76.257968,36.956153,,,
,247,221038211,,,0,,primary,0,-76.1845474,36.844426500000004,,,
,248,221038799,traffic_signals,,1,,primary,0,-76.26767,36.916438,,,
,249,221038803,traffic_signals,,1,,primary,0,-76.2677921,36.9165304,,,
,251,221039474,,,0,,primary,0,-76.2501616,36.952568,,,
,254,221039752,,,0,,primary,0,-76.27689000000001,36.850812,,,
,256,221041043,,,0,,primary,0,-76.21437,36.882319,,,
,259,221041465,motorway_junction,,0,,primary,0,-76.1944537,36.876669,,,
,273,221042253,,,0,,primary,0,-76.201291,36.855534000000006,,,
,274,221042385,,,0,,primary,0,-76.1778569,36.854420000000005,,,
,275,221042535,,,0,,primary,0,-76.2194182,36.9151916,,,
,277,221043342,,,0,,primary,0,-76.265357,36.852255,,,
,278,221043367,,,0,,primary,0,-76.2650167,36.8519104,,,
,279,221043866,,,0,,primary,0,-76.20935820000001,36.85876270000001,,,
,280,221043895,,,0,,primary,0,-76.209659,36.858368,,,
,281,221043907,,,0,,primary,0,-76.209672,36.856438,,,
,284,221043928,,,0,,primary,0,-76.209626,36.855083,,,
,285,221043953,,,0,,primary,0,-76.2098454,36.853120200000006,,,
,287,221044880,,,0,,primary,0,-76.26612,36.851867999999996,,,
,288,221044908,,,0,,primary,0,-76.265925,36.851615,,,
,292,221045477,,,0,,primary,0,-76.240316,36.854482,,,
,293,221045501,,,0,,primary,0,-76.2401004,36.85499420000001,,,
,300,221047277,,,0,,primary,0,-76.27935699999999,36.896099,,,
,301,221047286,,,0,,primary,0,-76.279565,36.896072,,,
,304,221047384,traffic_signals,,1,,primary,0,-76.271928,36.9180172,,,
,306,221047614,,,0,,primary,0,-76.274888,36.854395000000004,,,
,307,221047629,,,0,,primary,0,-76.274849,36.85468,,,
,308,221048181,,,0,,primary,0,-76.24212299999999,36.853987,,,
,309,221048216,,,0,,primary,0,-76.2412875,36.854305200000006,,,
,310,221048379,,,0,,primary,0,-76.2720258,36.9175472,,,
,316,221048653,,,0,,primary,0,-76.2148681,36.882807,,,
,324,221050014,,,0,,trunk,0,-76.256873,36.958141,,,
,326,221050113,motorway_junction,,0,,trunk,0,-76.2600806,36.959109999999995,,,
,329,221050560,,,0,,primary,0,-76.254168,36.91616,,,
,330,221050563,,,0,,trunk,0,-76.254144,36.916273,,,
,332,221051461,,,0,,primary,0,-76.2820245,36.8809537,,,
,333,221051464,,,0,,primary,0,-76.282126,36.8809496,,,
,335,221052323,traffic_signals,,1,,primary,0,-76.232336,36.855801,,,
,336,221052584,,,0,,primary,0,-76.24904959999999,36.9152813,,,
,339,221052604,,,0,,primary,0,-76.23885600000001,36.914719,,,
,340,221052635,,,0,,primary,0,-76.238607,36.914349,,,
,341,221052818,,,0,,primary,0,-76.2693,36.91567020000001,,,
,342,221053469,,,0,,primary,0,-76.27671,36.850835,,,
,343,221053509,,,0,,primary,0,-76.276126,36.850968,,,
,351,221054606,,,0,,primary,0,-76.215202,36.883458000000005,,,
,352,221054632,,,0,,primary,0,-76.21460400000001,36.883305,,,
,353,221054749,,,0,,primary,0,-76.2631,36.958145,,,
,358,221054846,,,0,,primary,0,-76.263299,36.957901,,,
,366,221058717,,,0,,primary,0,-76.221215,36.891441,,,
,367,221058719,,,0,,primary,0,-76.2211147,36.8914886,,,
,372,221059768,,,0,,motorway,0,-76.26511500000001,36.957433,,,
,373,221059773,,,0,,motorway,0,-76.265135,36.957539000000004,,,
,375,221060147,,,0,,primary,0,-76.272583,36.858771999999995,,,
,382,221062219,,,0,,primary,0,-76.21035069999999,36.843543100000005,,,
,385,221062460,,,0,,primary,0,-76.21005809999998,36.8436185,,,
,387,221063020,,,0,,primary,0,-76.2588592,36.9459309,,,
,388,221063029,,,0,,primary,0,-76.258415,36.946442600000005,,,
,391,221064273,traffic_signals,,1,,primary,0,-76.37408549999999,36.848282299999994,,,
,392,221064728,,,0,,primary,0,-76.32805309999999,36.794104100000006,,,
,395,221065086,traffic_signals,,1,,primary,0,-76.203486,36.855625,,,
,396,221065177,traffic_signals,,1,,primary,0,-76.210012,36.861451,,,
,399,221066210,,,0,,primary,0,-76.33736440000001,36.8229458,,,
,408,221066423,,,0,,primary,0,-76.339777,36.833963,,,
