name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,2923,407007086,,residential,,,"POLYGON ((-76.2941933 36.9678835, -76.29417979999999 36.9678835, -76.2941793 36.9677806, -76.29418699999999 36.9677806, -76.2941869 36.9677594, -76.29424299999999 36.9677592, -76.2942431 36.9677799, -76.2942516 36.9677799, -76.29425209999999 36.9678826, -76.2942692 36.9678825, -76.2942694 36.9679215, -76.29419350000001 36.9679217, -76.2941933 36.9678835))",POINT (-76.29421960000001 36.9678433),113.8,1224.93300352,82
,5447,407007115,,residential,,,"POLYGON ((-76.29569549999999 36.9675133, -76.2956568 36.9675133, -76.2956569 36.9674376, -76.2956595 36.9674376, -76.29565959999999 36.9674198, -76.2957005 36.9674198, -76.2957005 36.9674366, -76.2957779 36.9674366, -76.2957778 36.9675113, -76.2957384 36.9675113, -76.2957384 36.9675358, -76.29569549999999 36.9675357, -76.29569549999999 36.9675133))",POINT (-76.2957147 36.9674761),107.2,1153.89119488,82
,7168,407007159,,residential,,,"POLYGON ((-76.29106849999999 36.9665377, -76.29104359999999 36.9665378, -76.2910432 36.9664608, -76.2911526 36.9664604, -76.29115299999999 36.9665324, -76.291172 36.9665323, -76.2911721 36.9665576, -76.2910686 36.966558, -76.29106849999999 36.9665377))",POINT (-76.2911031 36.966509),104.7,1126.98141888,82
,6009,407007058,,residential,,,"POLYGON ((-76.2938978 36.967266, -76.29389810000001 36.9673589, -76.2937951 36.9673591, -76.2937948 36.9672662, -76.2938978 36.967266))",POINT (-76.2938465 36.9673126),93.7,1008.57840448,82
,5,407006920,,residential,,,"POLYGON ((-76.2867598 36.9673187, -76.2867727 36.9681847, -76.2867162 36.9681852, -76.28671610000001 36.9681792, -76.2866769 36.9681796, -76.2866642 36.9673196, -76.2867598 36.9673187))",POINT (-76.28671850000001 36.967751),818.5,8810.2606624,83
,10058,407007016,,residential,,,"POLYGON ((-76.2907618 36.9677221, -76.290764 36.9679148, -76.29061950000001 36.9679159, -76.2906174 36.9677232, -76.2907618 36.9677221))",POINT (-76.2906907 36.967819),273.7,2946.08227648,83
,3571,407006988,,residential,,,"POLYGON ((-76.2896873 36.9677443, -76.2896873 36.9677529, -76.2897306 36.9677529, -76.28973070000001 36.9678447, -76.2897191 36.9678447, -76.28971919999999 36.9679367, -76.289585 36.9679368, -76.28958489999999 36.9678275, -76.2895994 36.9678275, -76.2895994 36.9677992, -76.28960499999999 36.9677992, -76.2896049 36.9677516, -76.2896401 36.9677516, -76.2896401 36.9677443, -76.2896873 36.9677443))",POINT (-76.28965839999999 36.9678442),244.7,2633.92887488,83
,6032,407006962,,residential,,,"POLYGON ((-76.28899149999999 36.9662465, -76.2890989 36.966246, -76.2891005 36.966452, -76.28899250000001 36.9664526, -76.2889922 36.9664212, -76.28897499999999 36.9664213, -76.2889739 36.9662792, -76.28899180000001 36.9662791, -76.28899149999999 36.9662465))",POINT (-76.2890395 36.9663494),242.9,2614.55383616,83
,4571,407007148,,residential,,,"POLYGON ((-76.28677209999999 36.9666332, -76.28677260000001 36.9667229, -76.2865267 36.9667237, -76.2865262 36.966634, -76.28677209999999 36.9666332))",POINT (-76.2866494 36.9666784),219.0,2357.2963776,83
,1946,407006991,,residential,,,"POLYGON ((-76.29034679999999 36.9647236, -76.290347 36.9648989, -76.29024029999999 36.964899, -76.29024010000001 36.9647237, -76.29034679999999 36.9647236))",POINT (-76.2902935 36.9648113),185.2,1993.4762060799999,83
